# Original NPC roster for the independent Eloria test continent.
npc | Aven | emberhaven | 58 | 62 | dialogue | actor_type=256 | Welcome to Emberhaven. I can explain the roads and neighboring regions.
npc | Jori Reed | manymouth_delta | 225 | 166 | shop | actor_type=350 | Delta medicines, ferry food, and salvage bought fairly.
npc | Tide Hall Speaker Nen-Ilsa | manymouth_delta | 216 | 170 | dialogue | actor_type=352 | The Tide Hall speaks for whichever channel is deepest this season. That is not cowardice. It is the law.
npc | Long Market Broker Cass Merrow | manymouth_delta | 200 | 141 | dialogue | actor_type=340 | I can move anything through this delta except an opinion about who owns it.
npc | Ferry Post Pilot Ruk-Tal | manymouth_delta | 240 | 147 | dialogue | actor_type=358 | I have piloted the same crossing for thirty years and it has never been the same crossing.
npc | Root Landing Elder Ba-Nuun | manymouth_delta | 267 | 260 | dialogue | actor_type=353 | The great banyan is a landing, a court and a calendar. Mostly a calendar.
npc | Paddy Watch Sentry Ossa-Kel | manymouth_delta | 174 | 319 | dialogue | actor_type=358 | Paddy, then water, then paddy again. Somebody is moving the difference at night.
npc | Silt Measurer Ives Kanton | manymouth_delta | 135 | 308 | dialogue | actor_type=311 | Mirrorhold sent me to measure silt. Nobody warned me that silt is a political science here.
npc | Labyrinth Guide Hess-Uru | manymouth_delta | 368 | 116 | dialogue | actor_type=352 | I take people into the Flooded Labyrinth. I have brought most of them out.
npc | Green Temple Warden Vashi-Lo | manymouth_delta | 422 | 323 | dialogue | actor_type=353 | The delta's Green Temple and the Stair's Green Temple were one building. Argue about which half moved.
npc | South Shrine Cantor Tem-Ossa | manymouth_delta | 260 | 31 | dialogue | actor_type=359 | The south shrine sings for departures. It has been very busy.
npc | East Watch Runner Bel Kiddow | manymouth_delta | 489 | 150 | dialogue | actor_type=348 | Messages east, messages west, and I read none of them. That is worth what they pay me.
npc | Stelae Court Scribe Ann-Sesh | manymouth_delta | 460 | 214 | dialogue | actor_type=354 | Forty stelae, and the Archive at the Ruins admits to thirty-one. Do the arithmetic.

# Production Amberwood NPC posts.

# Production Sunmane Steppe NPC posts.

# Nymara sigil keepers. The vendor field carries the price in gold and the
# sigil ids each one sells; ids follow SIGIL_NAMES order in eloria/magic.py.

# Four Gates keeps no cache of its own, which left the crossroads as the only
# region a traveller could reach without storage.

# ---------------------------------------------------------------------------
# Region rosters. Every Nymara map is staffed by the peoples who live on it,
# and the mixed regions are staffed by the peoples who argue over it: the
# Amberwood production posts above are Greyhaven league offices standing in a
# Mycelari forest, and the entries below put the Mycelari beside them rather
# than replacing them. Actor types come from the client's NPC body registry
# (300-377), where each block of ids is one race and one gender; the gender of
# an NPC whose title does not fix it, and every cosmetic byte, is chosen from
# the name hash by eloria/npcs.py, so no two neighbours dress alike.
#
# Coordinates were resolved from the region packages' own landmarks by
# tools/check_npc_placement.py, and every one stands on ground a player can
# walk to from a portal. Move a post and re-run that tool before committing it.
#
# What these people actually say lives in config/eloria/npc_dialogue.txt; the
# line here is the greeting shown before the topic menu opens.

# Four Gates: the crossroads. All eight peoples keep somebody here, because
# everyone's road runs through it and nobody's law does.

# Mirrorhold: lenses, ledgers, and the quarry benches that feed both.

# Crownwater: an archipelago over a drowned court, and three peoples with
# three different words for what is down there.

# Whitehorn Range: Votary discipline above, Stoneborn workings below.

# Amethyst Barrens: calibration law, and everyone who would rather not calibrate.

# Sunmane Steppe: hospitality law, herds, and the wagons that keep leaving.

# Amberwood: a Mycelari forest administered by a Greyhaven league office. Both
# staffs are posted here, which is the whole of the argument in one map.

# Grey Moors: the barrows were given things, not buried with them.

# Westhaven: the harbour that repairs yesterday's mistake before the next tide.

# Verdant Stair: terraces, venom, and water lineage climbing a hill.

# Ssarathi Ruins: water lineage, and an archive that outlived the crown.

# Manymouth Delta: the channels move, and standing moves with them.

# Interiors. Each of these maps carries several rooms with blackspace between
# them, so a post here is reached only through the door it belongs to.
npc | Drowned Chapel Verger Tomas Rill | drowned_crown | 45 | 277 | dialogue | actor_type=311 | Down here the candles burn on air the divers bring. Waste one and you have wasted somebody's lungs.
npc | Wreck Assessor Juna Coll | drowned_crown |  95 | 185 | dialogue | actor_type=345 | I value what the lake kept. The lake has better taste than the league does.
npc | Bilge Diver Sath-Uma | drowned_crown |  95 | 159 | dialogue | actor_type=360 | Nine minutes down, four minutes up, and one minute I do not talk about.
npc | Temple Ordinal Vaun Cress | whitehorn_glacier_temple | 45 | 91 | dialogue | actor_type=321 | The Temple is inside the glacier. In two hundred years it will be somewhere else entirely.
npc | Ice Cantor Sera Owl | whitehorn_glacier_temple | 44 | 91 | dialogue | actor_type=316 | We sing to keep the ice honest. It does not work. We sing anyway.
npc | Vault Calibrator Oleth Ryne | resonant_vault | 22 | 307 | dialogue | actor_type=322 | Everything in the Vault is tuned to one note. Bring in a second and you will meet the reason for the rules.
npc | Resonance Warden Duro Kesk | resonant_vault |  77 | 245 | dialogue | actor_type=327 | Four doors, four wards, and one of them has been opened by somebody who is not on my list.
npc | Vault Digger Sten Marrow | resonant_vault | 45 | 171 | dialogue | actor_type=369 | Glasswardens measure. I dig. Between us the Vault stays standing, mostly.
npc | Estate Housekeeper Merrild Vane | amberwood_estate | 57 | 19 | dialogue | actor_type=343 | The estate has forty rooms and four occupants. Three of them are ledgers.
npc | Estate Sporewright Umber Coll | amberwood_estate | 58 | 55 | dialogue | actor_type=375 | The cellars grow what the estate eats. The estate would rather not know that.
npc | Barrow Lamplighter Ess Corrow | grey_moor_barrows | 11 | 159 | dialogue | actor_type=373 | One lamp per chamber, lit at dusk, out by dawn. The ones that stay lit are not mine.
npc | Grave-Debt Keeper Dorn Marrow | grey_moor_barrows | 152 | 124 | dialogue | actor_type=366 | Everything down here was given. Given things can be recalled. Remember that before you pocket anything.
npc | Archive Copyist Uln-Sath | ssarathi_royal_archive | 31 | 287 | dialogue | actor_type=352 | I copy water records. Every copy is checked against the river, not against the last copy.
npc | Archive Marshal Ren-Kaal | ssarathi_royal_archive |  71 | 265 | dialogue | actor_type=357 | The Archive answers to the water. The water has not issued instructions this century.
npc | Custom House Clerk Perrit Dole | westhaven_insides | 33 | 232 | dialogue | actor_type=348 | Declare it, weigh it, stamp it, and it is somebody else's problem.
npc | Guild Archivist Wenna Skell | westhaven_insides |  75 | 236 | dialogue | actor_type=302 | Ninety years of guild minutes. I have read them all, which is a confession.
npc | Physick Apprentice Osu-Nell | verdant_stair_insides | 47 | 280 | dialogue | actor_type=352 | Tessara says a good physick is bitten once. I am on four.
npc | Stair Provisioner Belm Ott | verdant_stair_insides | 197 | 278 | dialogue | actor_type=374 | Rope, salt, antidote, and lamp oil. In that order, every single time.
npc | Labyrinth Sounder Ath-Rulu | manymouth_flooded_labyrinth | 20 | 344 | dialogue | actor_type=361 | I sound the flooded galleries with a line and a bell. The bell answers from places the line will not reach.
npc | Lens Grinder Ottil Wren | mirrorhold_interiors | 44 | 187 | dialogue | actor_type=322 | Four hundred hours to a lens. One careless afternoon to a very expensive gravel.
npc | Hall Register Sefton Ames | mirrorhold_interiors | 151 | 182 | dialogue | actor_type=313 | Names in, names out. I am the least interesting person in Nymara and I know the most.
npc | Wind-Cave Echo Reader Tul Marrow | sunmane_wind_caves | 45 | 30 | dialogue | actor_type=364 | The caves return your voice a little changed. I have been listening for the change for years.
npc | Cave Prospector Ashen Duru | sunmane_wind_caves | 170 | 30 | dialogue | actor_type=335 | The Khanet says the caves are a shrine. The Barrens say they are a seam. I say nothing and dig.

# The bootstrap continent. Older, smaller, and mostly Luminous, but every
# people has a reason to be on it.
npc | Roadwright Callun Ferre | emberhaven | 62 | 66 | dialogue | actor_type=307 | Every road out of Emberhaven was cut by hand, and I know which hand cut which mile.
npc | Ash Sister Melle Quen | emberhaven | 48 | 70 | dialogue | actor_type=316 | Whitehorn sent me south to learn warmth. It is not going well.
npc | Emberhaven Chandler Ory Task | emberhaven | 74 | 50 | dialogue | actor_type=303 | Candles, lamp oil and wicks. Half the town owes me for light.
npc | Ferry Clerk Bram Ollow | emberhaven | 40 | 54 | dialogue | actor_type=348 | Two crossings a day, weather permitting. The weather rarely permits.
npc | Windward Scout Iselle Karr | glasswind | 62 | 54 | dialogue | actor_type=301 | The Expanse has no cover and no mercy. It also has the best sightlines in Eloria.
npc | Stormglass Cutter Vek Doun | glasswind | 52 | 66 | dialogue | actor_type=366 | Stormglass takes the shape of the wind that made it. Cut it wrong and you get the wind back.
npc | Salt Reader Anu Berel | glasswind | 68 | 62 | dialogue | actor_type=330 | Salt on the wind tells you where the water is. Out here that is the only question.
npc | Shelf Warden Ottoline Frey | frostmere | 58 | 62 | dialogue | actor_type=314 | The shelf holds until it does not. I am the one who says which.
npc | Ice Fisher Hulden Sarr | frostmere | 64 | 54 | dialogue | actor_type=350 | Cut the hole, sit, wait. It is not a trade, it is a personality.
npc | Channel Pilot Ussa-Tem | mirefen | 62 | 60 | dialogue | actor_type=354 | The channels here move like the delta's do, only nobody writes them down. So I do.
npc | Peat Cutter Molle Rane | mirefen | 54 | 56 | dialogue | actor_type=371 | Peat here is younger than the moors' and much more talkative.
npc | Reach Gardener Sen Thallow | verdant_reach | 62 | 56 | dialogue | actor_type=377 | Everything in the Reach grows twice as fast and lives half as long. Make of that what you like.
npc | Seed Keeper Iora Vane | verdant_reach | 54 | 62 | dialogue | actor_type=305 | Nine hundred seeds in labelled jars. Eleven of them I cannot name and will not plant.
npc | Cinder Prospector Rull Marrow | cinder_wastes | 62 | 60 | dialogue | actor_type=369 | Burnt ground gives up its metal easily. It gives up everything easily. That is the trouble.
npc | Ash Cartographer Nema Quist | cinder_wastes | 54 | 56 | dialogue | actor_type=324 | I map ash. The map is out of date before the ink dries, and I make a living regardless.

# --- Nymara gauntlets, written by tools/author_gauntlets.py ---
npc | Old Pyke | amberwood | 328 |  118 | instance | actor_type=377 | The road under the trees is open again, if you have the stomach for what took it.
npc | Hesk Varne | whitehorn_range | 332 | 261 | instance | actor_type=318 | The stair is iced shut to anyone without the key, and I have the key.
npc | Ssethis the Doorkeeper | ssarathi_ruins | 207 | 82 | instance | actor_type=357 | The causeway is walked by the lineage or by no one. You are not the lineage. Pay attention and you may walk it anyway.
npc | Widow Carrow | grey_moors | 243 | 276 | instance | actor_type=341 | My family dug the road between the barrows. I keep the door. Nobody else wanted to.
npc | Tollmaster Quent | crownwater | 135 | 123 | instance | actor_type=307 | The arcades are closed by order of a customs house that no longer exists. I still hold the order, and the key.
npc | Rider Anse | sunmane_steppe | 155 | 121 | instance | actor_type=333 | The wash is not a place. It is a thing that happens to riders who go in without counting each other first.
npc | Grinder Vell | amethyst_barrens | 38 | 342 | instance | actor_type=326 | The cut is shut. I shut it. I can open it for a party that understands why I shut it.
npc | Bund Warden Ilse | manymouth_delta | 109 | 293 | instance | actor_type=352 | The bund is hollow from here to the weir, and what is in the hollow is my problem until you make it yours.
# --- end of the Nymara gauntlets ---
